Image,Class
/tmp/camera-trap/W9A/WSCT0005.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0006.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0007.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0008.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0009.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0010.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0011.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0012.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0013.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0014.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0015.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0016.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0017.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0018.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0019.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0020.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0021.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0022.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0023.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0024.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0025.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0026.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0027.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0028.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0029.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0030.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0031.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0032.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0033.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0034.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0035.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0036.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0037.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0038.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0039.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0040.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0041.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0042.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0043.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0044.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0045.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0046.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0047.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0048.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0049.JPG,snow-off
