Image,Class
/tmp/camera-trap/W9A/WSCT0530.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0531.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0532.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0533.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0534.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0535.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0536.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0537.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0538.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0539.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0540.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0541.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0542.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0543.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0544.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0545.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0546.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0547.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0548.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0549.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0550.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0551.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0552.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0553.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0554.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0555.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0556.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0557.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0558.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0559.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0560.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0561.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0562.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0563.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0564.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0565.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0566.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0567.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0568.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0569.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0570.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0571.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0572.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0573.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0574.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0575.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0576.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0577.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0578.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0579.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0580.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0581.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0582.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0583.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0584.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0585.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0586.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0587.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0588.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0589.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0590.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0591.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0592.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0593.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0594.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0595.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0596.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0597.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0598.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0599.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0600.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0601.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0602.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0603.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0604.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0605.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0606.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0607.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0608.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0609.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0610.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0611.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0612.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0613.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0614.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0615.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0616.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0617.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0618.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0619.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0620.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0621.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0622.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0623.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0624.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0625.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0626.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0627.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0628.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0629.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0630.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0631.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0632.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0633.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0634.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0635.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0636.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0637.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0638.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0639.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0640.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0641.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0642.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0643.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0644.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0645.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0646.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0647.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0648.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0649.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0650.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0651.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0652.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0653.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0654.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0655.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0656.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0657.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0658.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0659.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0660.JPG,snow-off
