Image,Class
/tmp/camera-trap/W9A/WSCT0399.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0400.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0401.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0402.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0403.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0404.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0405.JPG,snow-on
/tmp/camera-trap/W9A/WSCT0406.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0407.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0408.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0409.JPG,snow-on
/tmp/camera-trap/W9A/WSCT0410.JPG,snow-on
/tmp/camera-trap/W9A/WSCT0411.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0412.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0413.JPG,snow-on
/tmp/camera-trap/W9A/WSCT0414.JPG,snow-on
/tmp/camera-trap/W9A/WSCT0415.JPG,snow-on
/tmp/camera-trap/W9A/WSCT0416.JPG,snow-on
/tmp/camera-trap/W9A/WSCT0417.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0418.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0419.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0420.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0421.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0422.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0423.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0424.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0425.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0426.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0427.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0428.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0429.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0430.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0431.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0432.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0433.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0434.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0435.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0436.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0437.JPG,snow-off
/tmp/camera-trap/W9A/WSCT0438.JPG,snow-off
